Date,Open,High,Low,Close,Adj Close,Volume
11/4/2019,5.17,5.24,5.09,5.14,5.14,8800
11/5/2019,5.09,6,5.09,5.2,5.2,211400
11/6/2019,5.22,5.47,5.05,5.06,5.06,35400
11/7/2019,5.35,6,5.18,5.21,5.21,237800
11/8/2019,5.3,5.47,5.1,5.1,5.1,87100
11/11/2019,5.26,5.43,5.1,5.1,5.1,30100
11/12/2019,5.1,5.39,5.07,5.16,5.16,49600
11/13/2019,5.08,5.23,5.02,5.15,5.15,41700
11/14/2019,5.2,5.2,5.03,5.08,5.08,11600
11/15/2019,5.16,5.33,5.06,5.11,5.11,57100
11/18/2019,5.35,5.35,5.11,5.28,5.28,13000
11/19/2019,5.27,5.29,5.17,5.19,5.19,8700
11/20/2019,5.25,5.3,5.13,5.25,5.25,14600
11/21/2019,5.21,5.32,5.14,5.17,5.17,16100
11/22/2019,5.18,5.25,5.11,5.11,5.11,5500
11/25/2019,5.23,5.42,5.18,5.42,5.42,51500
11/26/2019,5.44,5.48,5.22,5.39,5.39,14500
11/27/2019,5.34,5.99,5.34,5.57,5.57,151700
11/29/2019,5.67,5.75,5.45,5.6,5.6,28700
12/2/2019,5.53,5.66,5.5,5.6,5.6,9200
12/3/2019,5.25,5.51,5.25,5.47,5.47,10600
12/4/2019,5.55,5.66,5.31,5.33,5.33,24900
12/5/2019,5.38,5.5,5.25,5.42,5.42,36300
12/6/2019,5.45,5.75,5.3,5.3,5.3,33900
12/9/2019,5.35,5.6,5.24,5.34,5.34,38700
12/10/2019,5.35,5.55,5.24,5.34,5.34,56700
12/11/2019,5.27,5.45,5.22,5.39,5.39,65600
12/12/2019,5.29,5.5,5.25,5.35,5.35,66000
12/13/2019,5.27,5.52,5.23,5.3,5.3,67100
12/16/2019,5.26,5.45,5.2,5.45,5.45,43200
12/17/2019,5.39,5.7,5.29,5.7,5.7,59600
12/18/2019,5.69,5.9,5.53,5.53,5.53,122400
12/19/2019,5.53,5.65,5.41,5.49,5.49,39700
12/20/2019,5.59,5.75,5.46,5.75,5.75,105700
12/23/2019,5.83,6.25,5.64,5.96,5.96,208300
12/24/2019,6.02,6.2,5.89,5.91,5.91,38200
12/26/2019,6.05,6.05,5.67,5.69,5.69,46500
12/27/2019,5.7,5.87,5.48,5.68,5.68,35200
12/30/2019,5.62,5.77,5.5,5.65,5.65,28800
12/31/2019,5.7,5.77,5.53,5.71,5.71,38300
1/2/2020,5.88,5.99,5.64,5.68,5.68,35400
1/3/2020,5.57,5.71,5.52,5.56,5.56,11200
1/6/2020,5.57,5.8,5.48,5.63,5.63,33800
1/7/2020,5.62,5.77,5.62,5.67,5.67,12100
1/8/2020,5.73,6.44,5.73,6.07,6.07,256000
1/9/2020,6.15,6.51,6.05,6.42,6.42,71700
1/10/2020,6.47,6.47,6.08,6.31,6.31,38600
1/13/2020,6.31,6.39,5.91,6.11,6.11,50300
1/14/2020,6.15,6.34,5.85,5.95,5.95,42600
1/15/2020,6,6.1,5.7,5.73,5.73,40000
1/16/2020,5.79,5.8,5.47,5.5,5.5,32000
1/17/2020,5.51,5.79,5.49,5.72,5.72,46900
1/21/2020,5.78,5.96,5.72,5.86,5.86,61400
1/22/2020,5.94,5.94,5.7,5.82,5.82,20300
1/23/2020,5.82,5.83,5.62,5.62,5.62,12600
1/24/2020,5.72,5.72,5.59,5.62,5.62,10500
1/27/2020,5.39,5.8,5.39,5.41,5.41,47200
1/28/2020,5.4,5.57,5.4,5.55,5.55,5400
1/29/2020,5.54,5.66,5.5,5.5,5.5,4800
1/30/2020,5.45,5.5,5.26,5.27,5.27,15800
1/31/2020,5.26,5.27,5,5.24,5.24,26600
2/3/2020,5.26,5.94,5.14,5.73,5.73,149900
2/4/2020,5.77,5.83,5.52,5.62,5.62,19900
2/5/2020,5.74,5.74,5.47,5.64,5.64,24200
2/6/2020,5.71,5.71,5.4,5.55,5.55,7200
2/7/2020,5.7,5.79,5.48,5.67,5.67,26900
2/10/2020,5.65,5.79,5.5,5.52,5.52,18400
2/11/2020,5.45,5.73,5.27,5.35,5.35,11800
2/12/2020,5.55,5.55,5.37,5.49,5.49,18000
2/13/2020,5.36,5.5,5.35,5.48,5.48,10700
2/14/2020,5.45,5.53,5.45,5.53,5.53,4300
2/18/2020,5.46,5.52,5.35,5.35,5.35,14700
2/19/2020,5.55,5.55,4.92,5.2,5.2,86100
2/20/2020,5.21,5.21,4.8,4.9,4.9,62700
2/21/2020,4.8,4.8,3.93,4.26,4.26,180900
2/24/2020,4.15,4.49,4.07,4.36,4.36,32700
2/25/2020,4.5,4.5,4.14,4.14,4.14,19900
2/26/2020,4.21,4.36,4.08,4.13,4.13,22200
2/27/2020,3.55,3.55,3.11,3.26,3.26,131400
2/28/2020,3.26,3.74,3.26,3.74,3.74,73400
3/2/2020,3.83,3.9,3.51,3.84,3.84,37800
3/3/2020,3.79,3.79,3.4,3.7,3.7,23600
3/4/2020,3.89,3.89,3.7,3.83,3.83,25600
3/5/2020,3.8,3.8,3.67,3.67,3.67,9000
3/6/2020,4.03,4.03,3.69,3.8,3.8,36800
3/9/2020,4,4,3.38,3.39,3.39,32100
3/10/2020,3.45,3.46,3.15,3.31,3.31,20000
3/11/2020,3.25,3.42,3.12,3.19,3.19,11100
3/12/2020,3.12,3.13,3,3.01,3.01,41800
3/13/2020,3,3.14,2.7,2.7,2.7,43800
3/16/2020,2.71,2.71,2.45,2.45,2.45,27800
3/17/2020,2.7,2.7,2.46,2.5,2.5,10200
3/18/2020,2.5,2.59,2.3,2.32,2.32,12500
3/19/2020,2.21,2.58,2.21,2.58,2.58,11400
3/20/2020,2.66,2.7,2.6,2.6,2.6,7800
3/23/2020,2.64,2.64,2.51,2.54,2.54,6300
3/24/2020,2.65,2.75,2.51,2.6,2.6,7300
3/25/2020,2.65,2.9,2.52,2.55,2.55,23300
3/26/2020,2.7,2.74,2.61,2.72,2.72,13300
3/27/2020,2.71,2.79,2.55,2.63,2.63,7200
3/30/2020,2.6,2.78,2.52,2.68,2.68,3700
3/31/2020,2.73,2.85,2.71,2.79,2.79,9400
4/1/2020,2.72,2.84,2.61,2.69,2.69,10900
4/2/2020,2.73,2.82,2.67,2.82,2.82,3500
4/3/2020,2.8,2.87,2.8,2.84,2.84,10800
4/6/2020,2.88,3.02,2.82,2.84,2.84,24100
4/7/2020,2.84,2.85,2.63,2.76,2.76,15000
4/8/2020,2.9,2.9,2.76,2.88,2.88,7700
4/9/2020,3.03,3.26,2.95,3,3,38800
4/13/2020,3.23,3.46,3.03,3.39,3.39,27900
4/14/2020,3.5,3.9,3.5,3.74,3.74,33400
4/15/2020,3.87,4.5,3.78,4.32,4.32,92900
4/16/2020,4.55,5.45,4.45,4.86,4.86,117900
4/17/2020,5.35,5.35,4.26,4.59,4.59,58500
4/20/2020,4.61,4.67,4.1,4.28,4.28,25800
4/21/2020,4.12,4.42,3.8,3.98,3.98,20900
4/22/2020,4.22,4.22,3.71,3.82,3.82,23200
4/23/2020,3.99,4.13,3.86,4.13,4.13,8800
4/24/2020,4.14,4.25,3.9,3.98,3.98,10700
4/27/2020,3.89,4.02,3.7,3.85,3.85,11900
4/28/2020,3.88,3.88,3.26,3.46,3.46,60900
4/29/2020,3.46,3.78,3.46,3.69,3.69,13600
4/30/2020,3.78,4.26,3.66,3.66,3.66,41900
5/1/2020,3.55,3.67,3.2,3.53,3.53,7200
5/4/2020,3.59,3.72,3.53,3.72,3.72,14500
5/5/2020,3.96,3.96,3.73,3.79,3.79,11000
5/6/2020,3.89,3.93,3.72,3.89,3.89,16700
